Date,High,Low,Open,Close,Volume,Adj Close,5-DayEMA,20-DayEMA,Real Lower Band,Real Middle Band,Real Upper Band,MACD,MACD_Hist,MACD_Signal,SlowD,SlowK,CCI,OBV,EMA_Reversal,EMA_Trend,StoReversal,MACDTrend,OBVTrend,CCITrend,Returns,MarketTrend
1998-02-23,104.25,103.3436965942,104.25,104.0625,3227800,71.1915435791,103.8999786377,103.8695058822,96.2644,100.857,105.4496,2.0341,0.1147,1.9194,87.2955,88.3007,114.5056,39995300,0.0304727554,Reversal,NoReversal,Up,Up,Reversal,-0.0039044171,Reversal
1998-02-24,104.0936965942,102.9375,103.9061965942,103.25,3386800,70.6356887817,103.5920940198,103.6420270362,97.1356,101.2258,105.3159,1.9688,0.0395,1.9293,85.9809,78.9543,93.2333,36608500,-0.0499330164,Reversal,NoReversal,Reversal,Down,NoReversal,0.0078692494,Reversal
1998-02-25,104.875,103.625,103.75,104.5311965942,3481800,71.5122070313,103.9821827815,103.8987165399,97.8045,101.6101,105.4158,1.9974,0.0545,1.9429,80.9184,75.5002,124.9737,40090300,0.0834662416,Reversal,NoReversal,Reversal,Up,Reversal,-0.0122565955,Reversal
1998-02-26,105.2186965942,104.1875,104.4375,105.125,3187600,71.9184265137,104.4208946047,104.1953440734,98.323,101.9805,105.6379,2.0444,0.0812,1.9632,77.2805,77.3869,140.6155,43277900,0.2255505313,Up,NoReversal,Reversal,Up,Reversal,-0.0056485461,Reversal
1998-02-27,105.5311965942,104.5311965942,104.9686965942,105.125,3442900,71.9184265137,104.6781842454,104.3914590097,98.8459,102.3242,105.8025,2.058,0.0758,1.9822,80.6615,89.0974,140.6006,43277900,0.2867252357,Up,NoReversal,Reversal,Up,Reversal,0,Reversal
1998-03-02,105.75,104.625,105.25,104.9061965942,4252300,71.7687759399,104.7589132412,104.4887831462,99.5269,102.6539,105.7809,2.0277,0.0364,1.9913,83.3883,83.6808,130.1262,39025600,0.270130095,Up,NoReversal,Reversal,Down,Reversal,0.0020857053,Reversal
1998-03-03,105.625,104.5311965942,104.5311965942,105.5,3349200,72.1749649048,105.015972201,104.6635770605,99.8315,102.932,106.0325,2.0282,0.0295,1.9987,84.5452,80.8575,122.7682,42374800,0.3523951404,Up,NoReversal,Reversal,Up,Reversal,-0.0056284683,Reversal
1998-03-04,105.4061965942,104.4375,105.0936965942,104.8125,4404100,71.7046508789,104.9463367563,104.6874650282,100.1146,103.1383,106.162,1.9507,-0.0384,1.9891,76.872,66.0778,97.0422,37970700,0.258871728,Up,NoReversal,Reversal,Down,NoReversal,0.0065593321,Reversal
1998-03-05,104.4375,103.1561965942,103.5,103.8436965942,7268000,71.0418624878,104.5723037307,104.5604008132,100.5081,103.3023,106.0965,1.7904,-0.1589,1.9493,66.1719,51.5803,34.4516,30702700,0.0119029175,Reversal,NoReversal,Down,Down,NoReversal,0.0093294387,Reversal
1998-03-06,105.9375,104.4375,104.5625,105.9375,6896300,72.4743118286,105.0326917084,104.7569029864,100.8668,103.5742,106.2816,1.8114,-0.1103,1.9218,57.72,55.5018,114.5564,37599000,0.2757887219,Up,NoReversal,Down,Up,Reversal,-0.0197645159,Up
