Date,High,Low,Open,Close,Volume,Adj Close,5-DayEMA,20-DayEMA,Real Lower Band,Real Middle Band,Real Upper Band,MACD,MACD_Hist,MACD_Signal,SlowD,SlowK,CCI,OBV,EMA_Reversal,Returns,MarketTrend,EMA_Trend_Down,EMA_Trend_Reversal,EMA_Trend_Up,StoReversal_NoReversal,StoReversal_Reversal,MACDTrend_Down,MACDTrend_Reversal,MACDTrend_Up,OBVTrend_Down,OBVTrend_Up,CCITrend_NoReversal,CCITrend_Reversal
1998-02-23,104.25,103.3436965942,104.25,104.0625,3227800,71.1915435791,103.8999786377,103.86950588219999,96.2644,100.85700000000001,105.4496,2.0341,0.1147,1.9194,87.2955,88.3007,114.5056,39995300,0.0304727554,-0.0039044171000000003,2,0,1,0,1,0,0,0,1,0,1,0,1
1998-02-24,104.0936965942,102.9375,103.9061965942,103.25,3386800,70.6356887817,103.5920940198,103.6420270362,97.1356,101.2258,105.3159,1.9688,0.0395,1.9293,85.9809,78.9543,93.2333,36608500,-0.049933016399999995,0.0078692494,2,0,1,0,1,0,0,1,0,1,0,1,0
1998-02-25,104.875,103.625,103.75,104.5311965942,3481800,71.51220703130001,103.9821827815,103.8987165399,97.8045,101.6101,105.4158,1.9974,0.0545,1.9429,80.9184,75.5002,124.9737,40090300,0.0834662416,-0.0122565955,2,0,1,0,1,0,0,1,0,0,1,0,1
1998-02-26,105.2186965942,104.1875,104.4375,105.125,3187600,71.9184265137,104.4208946047,104.19534407340001,98.323,101.9805,105.6379,2.0444,0.0812,1.9632,77.2805,77.3869,140.6155,43277900,0.2255505313,-0.0056485460999999995,2,0,0,1,1,0,0,1,0,0,1,0,1
1998-02-27,105.5311965942,104.5311965942,104.9686965942,105.125,3442900,71.9184265137,104.6781842454,104.3914590097,98.8459,102.3242,105.8025,2.0580000000000003,0.0758,1.9822,80.6615,89.0974,140.6006,43277900,0.2867252357,0.0,2,0,0,1,1,0,0,1,0,0,1,0,1
1998-03-02,105.75,104.625,105.25,104.9061965942,4252300,71.7687759399,104.7589132412,104.4887831462,99.5269,102.6539,105.7809,2.0277,0.0364,1.9913,83.3883,83.6808,130.1262,39025600,0.270130095,0.0020857053,2,0,0,1,1,0,0,1,0,1,0,0,1
1998-03-03,105.625,104.5311965942,104.5311965942,105.5,3349200,72.17496490479999,105.015972201,104.66357706049999,99.8315,102.932,106.0325,2.0282,0.0295,1.9987,84.5452,80.8575,122.7682,42374800,0.3523951404,-0.0056284683,2,0,0,1,1,0,0,1,0,0,1,0,1
1998-03-04,105.4061965942,104.4375,105.0936965942,104.8125,4404100,71.7046508789,104.94633675629998,104.6874650282,100.1146,103.1383,106.162,1.9507,-0.0384,1.9891,76.872,66.0778,97.0422,37970700,0.258871728,0.0065593321,2,0,0,1,1,0,0,1,0,1,0,1,0
1998-03-05,104.4375,103.1561965942,103.5,103.8436965942,7268000,71.0418624878,104.5723037307,104.56040081319999,100.5081,103.3023,106.0965,1.7904,-0.1589,1.9493,66.1719,51.5803,34.4516,30702700,0.0119029175,0.0093294387,2,0,1,0,1,0,1,0,0,1,0,1,0
1998-03-06,105.9375,104.4375,104.5625,105.9375,6896300,72.4743118286,105.0326917084,104.7569029864,100.8668,103.5742,106.2816,1.8114,-0.1103,1.9218,57.72,55.5018,114.5564,37599000,0.27578872190000003,-0.0197645159,1,0,0,1,1,0,1,0,0,0,1,0,1
1998-03-09,106.2186965942,105.25,105.5311965942,105.5625,3362800,72.2177429199,105.21066618319999,104.866647981,101.0867,103.7711,106.4555,1.7774,-0.1155,1.8929,58.4805,68.3595,115.2325,34236200,0.3440182022,0.0035523979,1,0,0,1,1,0,1,0,0,1,0,0,1
1998-03-10,106.8436965942,105.9375,106.2186965942,106.5625,5481900,72.90185546880001,105.6636047585,105.08857401110001,101.3434,104.0351,106.7269,1.8102,-0.0661,1.8763,71.3924,90.3158,143.5449,39718100,0.5750307475,-0.0093841642,2,0,0,1,1,0,0,1,0,0,1,0,1
1998-03-11,107.3125,106.7811965942,106.9686965942,107.0625,3439600,73.2439422607,106.131505962,105.3380037538,101.4105,104.2758,107.141,1.8552,-0.0169,1.8721,82.3287,88.3108,155.5552,43157700,0.7935022083,-0.0046701693,2,0,0,1,1,0,0,1,0,0,1,0,1
1998-03-12,107.5936965942,106.5,107.0936965942,107.5,3191300,73.5432281494,106.58871475,105.6029521809,101.5256,104.54299999999999,107.5603,1.9042,0.0257,1.8785,91.0301,94.4636,146.1552,46349000,0.9857625690999999,-0.0040697674,2,0,0,1,1,0,0,1,0,0,1,0,1
1998-03-13,108.0,106.875,107.8436965942,107.0936965942,2879400,73.2652893066,106.7572986901,105.78078344010001,101.6949,104.76799999999999,107.84100000000001,1.8885,0.008,1.8805,89.5981,86.02,138.6095,43469600,0.9765152501000001,0.0037939059,2,0,0,1,1,0,0,1,0,1,0,0,1
1998-03-16,108.375,107.5311965942,107.8436965942,108.25,3223600,74.056312561,107.25537131680001,106.0684186332,101.9268,105.0805,108.2341,1.9469,0.0531,1.8938,88.93299999999999,86.3156,160.7583,46693200,1.1869526836,-0.0106817867,2,0,0,1,1,0,0,1,0,0,1,0,1
1998-03-17,108.5625,107.6561965942,108.3125,108.5625,4581900,74.2701263428,107.6913758958,106.35290485770001,102.1169,105.3836,108.6502,1.9954,0.0813,1.9141,86.5469,87.3051,149.9396,51275100,1.3384710381,-0.0028785262,2,0,0,1,1,0,0,1,0,0,1,0,1
1998-03-18,108.9686965942,108.0311965942,108.25,108.9686965942,1944100,74.5479888916,108.11734161209999,106.6457604905,102.1704,105.6601,109.1499,2.043,0.1031,1.9399,90.6371,98.2906,145.0513,53219200,1.4715811215999999,-0.0037276448,1,0,0,1,1,0,0,0,1,0,1,0,1
1998-03-19,109.375,108.6561965942,108.9686965942,109.25,2554800,74.7404556274,108.4950079832,106.9325283896,102.398,105.9781,109.5582,2.0795,0.1117,1.9678,94.64299999999999,98.3333,141.526,55774000,1.5624795935,-0.0025748595000000003,1,0,0,1,1,0,0,0,1,0,1,0,1
1998-03-20,110.1875,108.875,109.5625,109.875,3123300,75.38400268550001,108.9550975635,107.2517910907,102.4957,106.289,110.0824,2.1343,0.1332,2.0011,97.0119,94.4118,143.0785,58897300,1.7033064728,-0.0056882821,1,0,0,1,1,0,0,0,1,0,1,0,1
1998-03-23,110.3125,109.4061965942,109.7186965942,109.625,4453100,75.21249389649999,109.17842822540001,107.5059173229,102.6538,106.5672,110.4805,2.1329,0.1054,2.0275,92.8432,85.7846,131.012,54444200,1.6725109025,0.0022805017,1,0,0,1,1,0,0,0,1,1,0,0,1
1998-03-24,110.8125,109.9375,110.0625,110.5625,3333600,75.85567474369999,109.6398265964,107.8293891538,102.9615,106.9328,110.9041,2.1823,0.1239,2.0584,88.2171,84.455,139.2417,57777800,1.8104374425999998,-0.0084793669,1,0,0,1,1,0,0,0,1,0,1,0,1
1998-03-25,111.5311965942,109.1875,111.4061965942,110.1561965942,4597600,75.5769271851,109.81196015430001,108.0730500492,103.1669,107.214,111.2612,2.1638,0.0843,2.0795,80.8914,72.4345,120.3544,53180200,1.7389101051,0.0036884299,2,0,0,1,1,0,0,1,0,1,0,0,1
1998-03-26,110.75,109.625,109.875,110.0936965942,3333500,75.5340423584,109.90587602020001,108.28266277520001,103.3493,107.4625,111.5757,2.1196,0.032,2.0875,73.3039,63.0222,103.0697,49846700,1.623213245,0.0005676983,2,0,0,1,1,0,0,1,0,1,0,0,1
1998-03-27,110.7811965942,109.0,110.75,109.625,2611300,75.21249389649999,109.8122482082,108.42073748969999,103.6183,107.6875,111.7567,2.0234,-0.0513,2.0747,58.7908,40.9157,80.8905,47235400,1.3915107186000002,0.0042754535,2,0,0,1,1,0,0,1,0,1,0,1,0
1998-03-30,110.0936965942,108.9686965942,109.625,109.5625,3108700,75.16957855220001,109.72899734020001,108.53729226889999,103.9836,107.9203,111.85700000000001,1.92,-0.1237,2.0438,45.0622,31.2486,64.8997,44126700,1.1917050713,0.0005704507,1,0,0,1,1,0,1,0,0,1,0,1,0
1998-03-31,111.1875,109.75,110.1561965942,109.9375,5926500,75.4268951416,109.7984990423,108.6792581926,104.2766,108.1422,112.0078,1.847,-0.1574,2.0044,33.5738,28.5572,86.5385,50053200,1.1192408497,-0.0034110290000000003,1,0,0,1,1,0,1,0,0,0,1,1,0
1998-04-01,111.0781021118,109.4061965942,110.3125,110.8281021118,2929000,76.0378952026,110.14170275020001,108.89579578819999,104.7273,108.443,112.1587,1.8399,-0.1316,1.9715,36.0222,48.2606,85.791,52982200,1.245906962,-0.0080358871,1,0,0,1,1,0,1,0,0,0,1,1,0
1998-04-02,112.25,110.75,110.9375,112.0311965942,3920900,76.8633422852,110.77153731620001,109.2100100778,105.464,108.8523,112.2406,1.9093,-0.0498,1.9591,49.4883,71.64699999999999,131.5928,56903100,1.5615272384,-0.0107389238,2,0,0,1,1,0,0,1,0,0,1,0,1
1998-04-03,112.8125,111.8436965942,112.3436965942,112.5936965942,3787600,77.2492828369,111.3789258539,109.5474270251,105.7012,109.1851,112.6691,1.9867,0.0221,1.9646,70.1294,90.4805,154.6327,60690700,1.8314988288999998,-0.0049958392,2,0,0,1,1,0,0,1,0,0,1,0,1
1998-04-06,113.375,111.6875,113.25,111.6875,4550500,76.6275634766,111.481784141,109.7598804722,106.26799999999999,109.4914,112.7148,1.9525,-0.0097,1.9622,81.2781,81.7068,139.3374,56140200,1.7219036688,0.0081136796,2,0,0,1,1,0,0,1,0,1,0,0,1
1998-04-07,111.9375,110.1561965942,111.75,110.9375,5583700,76.112953186,111.30035581370001,109.8763174666,106.7266,109.7101,112.6937,1.8436,-0.0949,1.9385,78.5482,63.4573,73.3401,50556500,1.4240383471,0.0067605634,2,0,0,1,1,0,0,1,0,1,0,1,0
1998-04-08,111.2811965942,109.75,111.2186965942,110.3125,4854800,75.6841659546,110.9710702032,109.9192886868,107.1402,109.8726,112.6051,1.6874,-0.2008,1.8882,60.786,37.1939,36.8272,45701700,1.0517815164,0.0056657224,1,0,0,1,1,0,1,0,0,1,0,1,0
1998-04-09,111.2811965942,110.5311965942,110.5625,111.1875,4481200,76.2845001221,111.0432135184,110.0438202761,107.4977,110.057,112.6164,1.6156,-0.2181,1.8337,43.9677,31.252,64.1048,50182900,0.9993932422,-0.0078695897,1,0,0,1,1,0,1,0,0,0,1,1,0
1998-04-13,111.375,110.0,111.375,110.875,4350200,76.07010650630001,110.9871423199,110.12519709690001,108.0586,110.2461,112.4335,1.516,-0.2542,1.7702,32.3938,28.7356,41.6188,45832700,0.861945223,0.0028184893,1,0,0,1,1,0,1,0,0,1,0,1,0
1998-04-14,111.8125,110.9061965942,111.125,111.8125,3279100,76.7132720947,111.2622616306,110.28995340959999,108.3381,110.4242,112.5103,1.4955,-0.2197,1.7152,38.3265,54.9918,92.3857,49111800,0.9723082209999999,-0.0083845724,1,0,0,1,1,0,1,0,0,0,1,1,0
1998-04-15,112.125,111.1561965942,111.9686965942,112.125,3867200,76.9277191162,111.5498411456,110.46870592129999,108.5749,110.6023,112.6297,1.4873,-0.1823,1.6697,52.9447,75.1067,104.1233,52979000,1.0811352243,-0.0027870679999999998,1,0,0,1,1,0,1,0,0,0,1,0,1
1998-04-16,111.5,110.5,111.3125,110.8125,7177900,76.0272064209,111.30406073040001,110.50212243040001,108.81,110.6945,112.579,1.3593,-0.2483,1.6076,69.2018,77.507,24.7103,45801100,0.8019382999,0.011844331599999999,1,0,0,1,1,0,1,0,0,1,0,1,0
1998-04-17,112.4375,110.4375,110.7186965942,112.2811965942,5688800,77.0348358154,111.6297727144,110.6747085552,108.9631,110.8461,112.7291,1.3606,-0.1976,1.5582,76.6293,77.2743,85.9199,51489900,0.9550641592,-0.0130805214,1,0,0,1,1,0,1,0,0,0,1,1,0
